block_id	drug1	drug2	drug3	conc1	conc2	conc3	response	conc_unit1	conc_unit2	conc_unit3
1	Piperaquine	Pyronaridine Tetraphosphate	Darunavir Ethanolate	0.6	0.075	0	3.079183	uM	uM	uM
1	Piperaquine	Pyronaridine Tetraphosphate	Darunavir Ethanolate	0.3	0.075	0	3.867034	uM	uM	uM
1	Piperaquine	Pyronaridine Tetraphosphate	Darunavir Ethanolate	0.15	0.075	0	1.937995	uM	uM	uM
1	Piperaquine	Pyronaridine Tetraphosphate	Darunavir Ethanolate	0.075	0.075	0	1.601282	uM	uM	uM
1	Piperaquine	Pyronaridine Tetraphosphate	Darunavir Ethanolate	0.0375	0.075	0	4.680111	uM	uM	uM
1	Piperaquine	Pyronaridine Tetraphosphate	Darunavir Ethanolate	0.01875	0.075	0	4.592774	uM	uM	uM
1	Piperaquine	Pyronaridine Tetraphosphate	Darunavir Ethanolate	0.009375	0.075	0	3.709694	uM	uM	uM
1	Piperaquine	Pyronaridine Tetraphosphate	Darunavir Ethanolate	0.0046875	0.075	0	3.525223	uM	uM	uM
1	Piperaquine	Pyronaridine Tetraphosphate	Darunavir Ethanolate	0.00234375	0.075	0	2.78574	uM	uM	uM
1	Piperaquine	Pyronaridine Tetraphosphate	Darunavir Ethanolate	0	0.075	0	3.828242	uM	uM	uM
1	Piperaquine	Pyronaridine Tetraphosphate	Darunavir Ethanolate	0.6	0.0375	0	0.469935	uM	uM	uM
1	Piperaquine	Pyronaridine Tetraphosphate	Darunavir Ethanolate	0.3	0.0375	0	2.849359	uM	uM	uM
1	Piperaquine	Pyronaridine Tetraphosphate	Darunavir Ethanolate	0.15	0.0375	0	1.806546	uM	uM	uM
1	Piperaquine	Pyronaridine Tetraphosphate	Darunavir Ethanolate	0.075	0.0375	0	2.444195	uM	uM	uM
1	Piperaquine	Pyronaridine Tetraphosphate	Darunavir Ethanolate	0.0375	0.0375	0	1.544446	uM	uM	uM
1	Piperaquine	Pyronaridine Tetraphosphate	Darunavir Ethanolate	0.01875	0.0375	0	3.905338	uM	uM	uM
1	Piperaquine	Pyronaridine Tetraphosphate	Darunavir Ethanolate	0.009375	0.0375	0	6.088852	uM	uM	uM
1	Piperaquine	Pyronaridine Tetraphosphate	Darunavir Ethanolate	0.0046875	0.0375	0	3.605466	uM	uM	uM
1	Piperaquine	Pyronaridine Tetraphosphate	Darunavir Ethanolate	0.00234375	0.0375	0	4.147887	uM	uM	uM
1	Piperaquine	Pyronaridine Tetraphosphate	Darunavir Ethanolate	0	0.0375	0	4.928156	uM	uM	uM
1	Piperaquine	Pyronaridine Tetraphosphate	Darunavir Ethanolate	0.6	0.01875	0	1.604961	uM	uM	uM
1	Piperaquine	Pyronaridine Tetraphosphate	Darunavir Ethanolate	0.3	0.01875	0	1.695712	uM	uM	uM
1	Piperaquine	Pyronaridine Tetraphosphate	Darunavir Ethanolate	0.15	0.01875	0	3.259754	uM	uM	uM
1	Piperaquine	Pyronaridine Tetraphosphate	Darunavir Ethanolate	0.075	0.01875	0	3.967405	uM	uM	uM
1	Piperaquine	Pyronaridine Tetraphosphate	Darunavir Ethanolate	0.0375	0.01875	0	5.695037	uM	uM	uM
1	Piperaquine	Pyronaridine Tetraphosphate	Darunavir Ethanolate	0.01875	0.01875	0	15.442645	uM	uM	uM
1	Piperaquine	Pyronaridine Tetraphosphate	Darunavir Ethanolate	0.009375	0.01875	0	52.69285	uM	uM	uM
1	Piperaquine	Pyronaridine Tetraphosphate	Darunavir Ethanolate	0.0046875	0.01875	0	21.773823	uM	uM	uM
1	Piperaquine	Pyronaridine Tetraphosphate	Darunavir Ethanolate	0.00234375	0.01875	0	26.62648	uM	uM	uM
1	Piperaquine	Pyronaridine Tetraphosphate	Darunavir Ethanolate	0	0.01875	0	59.79122	uM	uM	uM
1	Piperaquine	Pyronaridine Tetraphosphate	Darunavir Ethanolate	0.6	0.009375	0	1.658162	uM	uM	uM
1	Piperaquine	Pyronaridine Tetraphosphate	Darunavir Ethanolate	0.3	0.009375	0	1.333064	uM	uM	uM
1	Piperaquine	Pyronaridine Tetraphosphate	Darunavir Ethanolate	0.15	0.009375	0	2.25458	uM	uM	uM
1	Piperaquine	Pyronaridine Tetraphosphate	Darunavir Ethanolate	0.075	0.009375	0	4.083958	uM	uM	uM
1	Piperaquine	Pyronaridine Tetraphosphate	Darunavir Ethanolate	0.0375	0.009375	0	5.890681	uM	uM	uM
1	Piperaquine	Pyronaridine Tetraphosphate	Darunavir Ethanolate	0.01875	0.009375	0	47.977493	uM	uM	uM
1	Piperaquine	Pyronaridine Tetraphosphate	Darunavir Ethanolate	0.009375	0.009375	0	25.57706	uM	uM	uM
1	Piperaquine	Pyronaridine Tetraphosphate	Darunavir Ethanolate	0.0046875	0.009375	0	38.34715	uM	uM	uM
1	Piperaquine	Pyronaridine Tetraphosphate	Darunavir Ethanolate	0.00234375	0.009375	0	52.555725	uM	uM	uM
1	Piperaquine	Pyronaridine Tetraphosphate	Darunavir Ethanolate	0	0.009375	0	52.755226	uM	uM	uM
1	Piperaquine	Pyronaridine Tetraphosphate	Darunavir Ethanolate	0.6	0.0046875	0	1.403909	uM	uM	uM
1	Piperaquine	Pyronaridine Tetraphosphate	Darunavir Ethanolate	0.3	0.0046875	0	1.004641	uM	uM	uM
1	Piperaquine	Pyronaridine Tetraphosphate	Darunavir Ethanolate	0.15	0.0046875	0	2.196902	uM	uM	uM
1	Piperaquine	Pyronaridine Tetraphosphate	Darunavir Ethanolate	0.075	0.0046875	0	7.130911	uM	uM	uM
1	Piperaquine	Pyronaridine Tetraphosphate	Darunavir Ethanolate	0.0375	0.0046875	0	11.649027	uM	uM	uM
1	Piperaquine	Pyronaridine Tetraphosphate	Darunavir Ethanolate	0.01875	0.0046875	0	54.25911	uM	uM	uM
1	Piperaquine	Pyronaridine Tetraphosphate	Darunavir Ethanolate	0.009375	0.0046875	0	75.9819	uM	uM	uM
1	Piperaquine	Pyronaridine Tetraphosphate	Darunavir Ethanolate	0.0046875	0.0046875	0	67.842674	uM	uM	uM
1	Piperaquine	Pyronaridine Tetraphosphate	Darunavir Ethanolate	0.00234375	0.0046875	0	91.25777	uM	uM	uM
1	Piperaquine	Pyronaridine Tetraphosphate	Darunavir Ethanolate	0	0.0046875	0	87.11746	uM	uM	uM
1	Piperaquine	Pyronaridine Tetraphosphate	Darunavir Ethanolate	0.6	0.00234375	0	2.242743	uM	uM	uM
1	Piperaquine	Pyronaridine Tetraphosphate	Darunavir Ethanolate	0.3	0.00234375	0	0.245342	uM	uM	uM
1	Piperaquine	Pyronaridine Tetraphosphate	Darunavir Ethanolate	0.15	0.00234375	0	2.394585	uM	uM	uM
1	Piperaquine	Pyronaridine Tetraphosphate	Darunavir Ethanolate	0.075	0.00234375	0	7.187968	uM	uM	uM
1	Piperaquine	Pyronaridine Tetraphosphate	Darunavir Ethanolate	0.0375	0.00234375	0	42.17499	uM	uM	uM
1	Piperaquine	Pyronaridine Tetraphosphate	Darunavir Ethanolate	0.01875	0.00234375	0	82.13233	uM	uM	uM
1	Piperaquine	Pyronaridine Tetraphosphate	Darunavir Ethanolate	0.009375	0.00234375	0	96.97843	uM	uM	uM
1	Piperaquine	Pyronaridine Tetraphosphate	Darunavir Ethanolate	0.0046875	0.00234375	0	98.04687	uM	uM	uM
1	Piperaquine	Pyronaridine Tetraphosphate	Darunavir Ethanolate	0.00234375	0.00234375	0	95.150604	uM	uM	uM
1	Piperaquine	Pyronaridine Tetraphosphate	Darunavir Ethanolate	0	0.00234375	0	103.97333	uM	uM	uM
1	Piperaquine	Pyronaridine Tetraphosphate	Darunavir Ethanolate	0.6	0.001171875	0	1.328808	uM	uM	uM
1	Piperaquine	Pyronaridine Tetraphosphate	Darunavir Ethanolate	0.3	0.001171875	0	1.463759	uM	uM	uM
1	Piperaquine	Pyronaridine Tetraphosphate	Darunavir Ethanolate	0.15	0.001171875	0	1.204586	uM	uM	uM
1	Piperaquine	Pyronaridine Tetraphosphate	Darunavir Ethanolate	0.075	0.001171875	0	6.37498	uM	uM	uM
1	Piperaquine	Pyronaridine Tetraphosphate	Darunavir Ethanolate	0.0375	0.001171875	0	19.645018	uM	uM	uM
1	Piperaquine	Pyronaridine Tetraphosphate	Darunavir Ethanolate	0.01875	0.001171875	0	74.25733	uM	uM	uM
1	Piperaquine	Pyronaridine Tetraphosphate	Darunavir Ethanolate	0.009375	0.001171875	0	88.41368	uM	uM	uM
1	Piperaquine	Pyronaridine Tetraphosphate	Darunavir Ethanolate	0.0046875	0.001171875	0	92.7628	uM	uM	uM
